Status,Name,Ort,Webseite,Akteurstyp,Type of actor,Experimentierbereich,Area of experimentation,Gründung,Schließung
Aktiv,Ada,Düsseldorf,https://join-ada.com/,Spin-off,Spin-off,Produkt,Product,2018,
Inaktiv,Adloop,Köln,,Start-up,Startup,Technologie,Technology,2012,2013
Inaktiv,AdSeen,Paderborn,,Start-up,Startup,Technologie,Technology,2009,2013
Aktiv,AKINGO News,Düsseldorf,https://capely.com/de/akingo/,Start-up,Startup,Technologie,Technology,2013,
Aktiv,Audyem,Hamburg,https://audyem.com,Start-up,Startup,Technologie,Technology,2019,
Inaktiv,Axel Springer Plug and Play Accelerator,Berlin,,Accelerator,Accelerator,"Technologie, Produkt, Publikumsbeziehung, Finanzierungsform","Technology, Product, Audience Relationship, Form of funding",2013,2018
Aktiv,axite,Stuttgart,https://www.ax-semantics.com,Start-up,Startup,Technologie,Technology,2009,
Inaktiv,Bento,Hamburg,,Spin-off,Spin-off,Produkt,Product,2015,2020
Inaktiv,Bohème,München,,Start-up,Startup,"Technologie, Finanzierungsform","Technology, Form of funding",2015,2023
Aktiv,BotTalk,Hamburg,https://bottalk.io,Start-up,Startup,Technologie,Technology,2019,
Aktiv,BR AI & Automation Lab,München,https://www.br.de/extra/ai-automation-lab/index.html,Innovationseinheit,Innovation Unit,Technologie,Technology,2020,
Aktiv,Business Insider Deutschland,Karlsruhe,www.businessinsider.de,Spin-off,Spin-off,Produkt,Product,2015,
Inaktiv,Business News Platform,Düsseldorf,,Projekt,Project,Technologie,Technology,2019,2020
Aktiv,Business Punk,Hamburg,https://www.business-punk.com/,Spin-off,Spin-off,Produkt,Product,2009,
Aktiv,BuzzFeed Deutschland,Berlin,https://www.buzzfeed.de/,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2014,
Inaktiv,Byou,Berlin,,Spin-off,Spin-off,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2015,2017
Aktiv,C-POP,Berlin,https://innovation.dpa.com/2019/03/21/story-driven-reader-c-pop-newsflow-agencies-publishers/,Projekt,Project,Technologie,Technology,2019,
Aktiv,Camperstyle,Donauwörth,https://camperstyle.de/,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2015,
Aktiv,Campfire Festival,Düsseldorf,https://campfirefestival.org/,Projekt,Project,Publikumsbeziehung,Audience Relationship,2017,
Aktiv,CCI - Content Creation Intelligence,Berlin,https://www.konsole.org/,Projekt,Project,Technologie,Technology,2021,
Aktiv,CeleraOne,Berlin,https://piano.io,Start-up,Startup,Technologie,Technology,2011,
Aktiv,charlesAI,Berlin,https://spectrm.io,Start-up,Startup,"Technologie, Publikumsbeziehung","Technology, Audience Relationship",2016,
Aktiv,Civey,Berlin,https://civey.com/,Start-up,Startup,"Technologie, Produkt","Technology, Product",2015,
Aktiv,Cleverpush,Hamburg,https://cleverpush.com/de/,Start-up,Startup,Technologie,Technology,2018,
Aktiv,CommunicationAds,Nürnberg,https://www.communicationads.net/,Start-up,Startup,Technologie,Technology,2014,
Aktiv,Contentflow,Berlin,https://contentflow.net/,Start-up,Startup,Technologie,Technology,2015,
Inaktiv,Conversational News,Halle (Saale),,Projekt,Project,Technologie,Technology,2019,2020
Aktiv,CORRECTIV,Essen,https://correctiv.org,Start-up,Startup,"Publikumsbeziehung, Produkt, Finanzierungsform","Audience Relationship, Product, Form of funding",2014,
Inaktiv,Data Corrupter,Düsseldorf,,Projekt,Project,Technologie,Technology,2017,2018
Aktiv,Datawrapper,Bad Honnef,https://www.datawrapper.de/,Start-up,Startup,"Technologie, Produkt","Technology, Product",2013,
Aktiv,Datenfreunde,Hamburg,https://datenfreunde.com,Start-up,Startup,"Technologie, Produkt","Technology, Product",2013,
Aktiv,Deine Korrespondentin,Berlin,https://www.deine-korrespondentin.de,Start-up,Startup,"Produkt, Publikumsbeziehung","Product, Audience Relationship",2015,
Aktiv,Dekoder,Hamburg,https://dekoder.org,Projekt,Project,Produkt,Product,2019,
Inaktiv,Der Bus,Cottbus,,Start-up,Startup,Publikumsbeziehung,Audience Relationship,2022,2022
Inaktiv,Der Kontext,München,,Start-up,Startup,Produkt,Product,2015,2020
Inaktiv,Digger - Deepfake Detection,Bonn,,Projekt,Project,Technologie,Technology,2019,2021
Aktiv,Digidip,Berlin,https://www.digidip.net,Start-up,Startup,Technologie,Technology,2013,
Inaktiv,docupy,Köln,,Projekt,Project,Produkt,Product,2017,2018
Aktiv,dpa-newslab,Hamburg,https://innovation.dpa.com/,Innovationseinheit,Innovation Unit,Technologie,Technology,2009,
